RUN	RecordedSimulation	recordedsimulation	1587632571220	ma¤ana	3.3.1
REQUEST	2		bootstrap.min.css	1587632585038	1587632585130	OK	 
REQUEST	2		request_22	1587632585039	1587632585130	OK	 
REQUEST	2		request_21	1587632585038	1587632585130	OK	 
REQUEST	4		request_14	1587632585109	1587632585332	OK	 
USER	RecordedSimulation	12	START	1587632585531	1587632585531
REQUEST	12		request_0	1587632585532	1587632585535	OK	 
REQUEST	12		uniovi.jpg	1587632585537	1587632585539	OK	 
REQUEST	12		bundle.js	1587632585537	1587632585579	OK	 
REQUEST	12		request_1	1587632585537	1587632585580	OK	 
REQUEST	12		request_5	1587632585580	1587632585583	OK	 
REQUEST	12		request_3	1587632585539	1587632585584	OK	 
REQUEST	12		request_4	1587632585579	1587632585585	OK	 
REQUEST	12		request_6	1587632585583	1587632585586	OK	 
REQUEST	12		main.chunk.js	1587632585537	1587632585588	OK	 
REQUEST	12		request_7	1587632585584	1587632585589	OK	 
REQUEST	12		request_9	1587632585586	1587632585590	OK	 
REQUEST	12		request_8	1587632585585	1587632585591	OK	 
REQUEST	12		request_10	1587632585588	1587632585592	OK	 
REQUEST	12		request_12	1587632585589	1587632585592	OK	 
REQUEST	12		request_13	1587632585591	1587632585593	OK	 
REQUEST	4		bootstrap.min.css	1587632585333	1587632585597	OK	 
REQUEST	4		solid.css	1587632585334	1587632585602	OK	 
REQUEST	4		request_16	1587632585598	1587632585641	OK	 
REQUEST	4		solid.js	1587632585334	1587632585642	OK	 
REQUEST	4		request_17	1587632585603	1587632585644	OK	 
REQUEST	4		text-encoder-lite.min.js	1587632585334	1587632585644	OK	 
REQUEST	4		owasp-password-strength-test.js	1587632585334	1587632585646	OK	 
REQUEST	4		request_18	1587632585641	1587632585686	OK	 
REQUEST	4		request_15	1587632585335	1587632585764	OK	 
REQUEST	3		request_20	1587632585766	1587632585836	OK	 
REQUEST	3		request_22	1587632585838	1587632585877	OK	 
REQUEST	3		solid.css	1587632585837	1587632585878	OK	 
REQUEST	3		request_21	1587632585838	1587632585878	OK	 
REQUEST	3		bootstrap.min.css	1587632585837	1587632585878	OK	 
REQUEST	12		request_2	1587632585538	1587632586079	OK	 
REQUEST	12		0.chunk.js	1587632585537	1587632586081	OK	 
REQUEST	5		request_14	1587632586125	1587632586331	OK	 
REQUEST	5		bootstrap.min.css	1587632586332	1587632586489	OK	 
REQUEST	5		owasp-password-strength-test.js	1587632586333	1587632586501	OK	 
REQUEST	5		solid.css	1587632586332	1587632586512	OK	 
REQUEST	5		text-encoder-lite.min.js	1587632586333	1587632586520	OK	 
REQUEST	5		solid.js	1587632586333	1587632586526	OK	 
REQUEST	5		request_16	1587632586490	1587632586528	OK	 
USER	RecordedSimulation	13	START	1587632586531	1587632586531
REQUEST	13		request_0	1587632586532	1587632586537	OK	 
REQUEST	5		request_17	1587632586501	1587632586540	OK	 
REQUEST	13		uniovi.jpg	1587632586539	1587632586541	OK	 
REQUEST	5		request_19	1587632586513	1587632586554	OK	 
REQUEST	13		bundle.js	1587632586539	1587632586575	OK	 
REQUEST	13		request_1	1587632586540	1587632586577	OK	 
REQUEST	13		request_5	1587632586577	1587632586581	OK	 
REQUEST	13		request_4	1587632586576	1587632586583	OK	 
REQUEST	13		main.chunk.js	1587632586540	1587632586584	OK	 
REQUEST	13		request_3	1587632586542	1587632586585	OK	 
REQUEST	13		request_6	1587632586581	1587632586585	OK	 
REQUEST	13		request_7	1587632586583	1587632586591	OK	 
REQUEST	13		request_8	1587632586585	1587632586592	OK	 
REQUEST	13		request_10	1587632586586	1587632586593	OK	 
REQUEST	13		request_9	1587632586585	1587632586593	OK	 
REQUEST	13		request_13	1587632586592	1587632586595	OK	 
REQUEST	13		request_12	1587632586592	1587632586595	OK	 
REQUEST	5		request_15	1587632586333	1587632586626	OK	 
REQUEST	4		request_20	1587632586766	1587632586823	OK	 
REQUEST	4		bootstrap.min.css	1587632586824	1587632586862	OK	 
REQUEST	4		solid.css	1587632586825	1587632586863	OK	 
REQUEST	4		request_22	1587632586825	1587632586867	OK	 
REQUEST	4		request_21	1587632586825	1587632586868	OK	 
REQUEST	13		0.chunk.js	1587632586539	1587632587113	OK	 
REQUEST	13		request_2	1587632586540	1587632587121	OK	 
USER	RecordedSimulation	14	START	1587632587530	1587632587530
REQUEST	14		request_0	1587632587531	1587632587536	OK	 
REQUEST	14		uniovi.jpg	1587632587538	1587632587541	OK	 
REQUEST	14		bundle.js	1587632587538	1587632587576	OK	 
REQUEST	14		request_1	1587632587539	1587632587578	OK	 
REQUEST	14		request_5	1587632587578	1587632587582	OK	 
